490;"La glicuronil-trasferasi è un enzima importante
nella:";"captazione della bilirubina nella
cellula epatica";coniugazione della bilirubina;demolizione dell’Hb;"formazione dell’acido delta
amino levulinico";"escrezione della
bilirubina";B
491;"UNA MOLECOLA DI IGM PUO’ LEGARE
FINO A:";"20 MOLECOLE DI
COMPLEMENTO";"50 MOLECOLE DI
COMPLEMENTO";"100 MOLECOLE DI
COMPLEMENTO";"150 MOLECOLE DI
COMPLEMENTO";"250 MOLECOLE DI
COMPLEMENTO";E
492;Quale delle seguenti affermazioni riguardanti l’incompatibilità Rh è vera?;un aborto spontaneo frequentemente determina la sensibilizzazione della   madre nei confronti dell’antigene D;"l’eritroblastosi fetale dei
neonati non è in relazione al loro ordine di nascita";se la madre ed il figlio sono incompatibili oltre che per il fattore Rh anche per   i fattori ABO, la forma morbosa è raramente grave;l’exsanguino- trasfusione è il metodo migliore per prevenire la malattia del neonato;"l’antigene principale del
sistema antigenico Rh, capace di stimolare le difese immunitarie";A
493;"QUALE DI QUESTI SINTOMI E' SEMPRE PRESENTE NELLA LEUCEMIA MIELOIDE
CRONICA?";SPLENOMEGALIA;DOLENZIA STERNALE ALLA PRESSIONE;FEBBRE;EPATOMEGALIA;PRIAPISMO;A
494;"Quale delle seguenti è una caratteristica
dell’ipotiroidismo?";nefrocalcinosi;glicosuria;ipercolesterolemia;esoftalmo;"osteoporosi della
colonna";C
495;"LA NEFROPATIA GRAVIDICA, O GESTOSI,
E' CARATTERIZZATA DA:";ASSENZA DI EDEMI;IPERTENSIONE ARTERIOSA;IPOURICEMIA;"FONDO OCULARE
NORMALE";"EMATURIA SENZA
PROTEINURIA";B
Item;Domanda;A;B;C;D;E;OK
496;"La rosolia predispone ad una maggiore frequenza di difetti congeniti quando l’infezione è contratta:
La causa più comune di meningite batterica acuta nell’adulto è:";"in qualsiasi periodo della gravidanza
il pneumococco";"dopo la nascita
lo streptococco";"nel primo trimestre della gravidanza
l’H. influenzae";"nel secondo trimestre della gravidanza
il meningococco";"nel terzo trimestre della gravidanza
nessuno dei suddetti";"C
D"
497;;;;;;;
498;IL PROGESTERONE, IL PIU' ATTIVO DEGLI ORMONI CON AZIONE PROGESTATIVA, HA TUTTI QUESTI EFFETTI BIOLOGICI AD ESCLUSIONE DI UNO. QUALE?;TRASFORMAZIONE SECRETIVA DELL’ENDOMETRIO;STIMOLAZIONE DELLA MOTILITA' UTERINA;INIBIZIONE DELLA SECREZIONE CERVICALE IN FASE FOLLICOLINICA;AZIONE IPERTERMIZZANTE;INDUCE PROLIFERAZIONE DEGLI ACINI MAMMARI;B
"499
500";IL METABOLISMO GLUCIDICO NELL'INSUFFICIENZA CRONICA SURRENALICA E' CARATTERIZZATO DA:;CURVA GLICEMICA DA CARICO ORALE DI GLUCOSIO DI TIPO DIABETICO;CURVA GLICEMICA DA CARICO ENDOVENOSO DI GLUCOSIO NORMALE MA SENZA IPOGLICEMIA TERMINALE;RISERVE DI GLICOGENO AUMENTATE;GLICOSURIA POST-PRANDIALE;SPICCATA SENSIBILITA' ALL'INSULINA;E
;L’herpes zoster:;è provocato dallo stesso virus che da’ luogo alla varicella;colpisce soprattutto i bambini;classicamente non è doloroso;è tipicamente associato a debolezza muscolare;"è caratterizzato da una localizzazione del virus
a livello delle radici";A
501;"Dopo quanti giorni dalla fecondazione avviene
l’impianto della blastocisti:";1-2;3-5;6-8;9-10;12-14;C
502;"LA BIOSINTESI DELLE CATECOLAMINE HA
INIZIO DA QUESTO ELEMENTO:";FOSFOLIFIDI;TIROSINA;COLESTEROLO;SQUAIENE;PROGESTERONE;B
503;NEL LINFOMA DI HODGKIN SI RILEVA:;ELEVATA POSITIVITA' DELLA REAZIONE CUTANEA ALL'ANTIGENE PAROTITICO RISPETTO AI CONTROLLI;COMPROMISSIONE DELL'IMMUNITA' DI TIPO UMORALE;COMPROMISSIONE DELL'IMMUNITA' DI TIPO CELLULARE;AUMENTATA REATTIVITA' CUTANEA DI TIPO RITARDATO AD ANTIGENI DIVERSI;REATTIVITA' CUTANEA AD ANTIGENI DIVERSI TANTO MAGGIORE QUANTO PIU';C
504;"La fecondazione dell’uovo da parte dello
spermatozoo di solito avviene:";sulla superficie dell’ovaio;nelle fimbrie;alla giunzione utero-tubarica;"nel terzo prossimale della
tuba";"nei due/terzi distali
della tuba";E
505;La causa più frequente di aborto spontaneo è:;anomalie cromosomiche;trauma;incompatibilità Rh;insufficienza progestinica;infezioni materne;A
506;"QUALE PARTE DEL CORTICOSURRENE E'
STIMOLATA DALL'ANGIOTENSINA II?";ZONA RETICOLARE;ZONA FASCICOLATA;"ZONA GLOMERULARE
CORTICALE";TUTTE QUESTE ZONE;"NESSUNA DI
QUESTE ZONE";C
507;Quale delle seguenti sostanze viene coinvolte nella produzione del progesterone:;ormone della crescita;colesterolo;tiroxina;insulina;estrogeni;B
508;LA CARENZA DI II-BETA-IDROSSILASI A LIVELLO CORTZCOSURRENALICO PROVOCA INSUFFICIENTE FORMAZIONE DI:;PROGE'STERONE;CORTISOLO;DESOSSICORTISOLO;DESOSSICORTICOSTERO NE;PREGNENOLONE;B
509;"CALCEMIA E FOSFOREMIA DIMINUITE E
FOSFATASI ALCALINA AUMENTATA 8I RILEVANO ABITUALMENTE IN CORSO DI:";OSTEOMALACIA;OSTEOPOROSI;M. DI PAGET;TUTTE QUESTE ALTERAZIONI OSSEE;"NESSUNA DI
QUESTE ALTERAZIONI OSSEE";A
510;Il gonadotropin-releasing hormone (GnRH) è:;una glicoproteina;un polipeptide;uno steroide;una prostaglandina;"nessuna delle
precedenti";B
511;L'ECHINOCOCCO E':;UNA TENIA;UN TRIPANOSOMA;UN TRICHOMONAS;UN PLASMODIO;UNA LEISHMANIA;A
Item;Domanda;A;B;C;D;E;OK
512;"Nel testicolo dell’uomo l’FSH agisce principalmente su:
Quale tra questi sono valori fisiologici del picco preovulatorio del 17< estradiolo nella donna?";cellule di Leydig 10-50 pg/ml;spermatogoni 50-100 pg/ml;cellule interstiziali 100-200 pg/ml;cellule della teca 250-400 pg/ml;cellule di Sertoli 500-800 pg/ml;"E
D"
513;;;;;;;
"514
515";L'ANTIGENE AUSTRALIA (ANTIGENE AU) VIENE OGGI IDENTIFICATO CON L'ANTIGENE:;HBE AG;HBC AG;HES AG;HLA;DUZO;C
;L'INSORGENZA DI FEBBRE CON MANIFESTAZIONI DI HERPES LABIALIS E' RARA IN TUTTE QUESTE AFFEZIONI MORBOSE AD ESCLUSIONE DI UNA, NELLA QUALE E' FREQUENTE. QUAL E' QUESTA AFFEZIONE?;POLMONITE DA PNEUMOCOCCO;TUBERCOLOSI POLMONARE;BRUCELLOSI;TIFO ADDOMINALE;POLMONITE DA MYCOPLASMA;A
"516
517";Il cariotipo della sindrome di Turner è:;46 XY;45 XO;47 XYY;46YY;47XXY;B
;NELLA POLMONITE DA MYCOPLASMA PNEUMONIAE SI RILEVA:;OPACITA' RADIOLOGICA POLMONARE DISOMOGENEA E SFUMATA;DIMINUZIONE COSTANTE DELLE EMOAGGLUTININE DA FREDDO;LEUCOCITOSI;LINFOPENIA RELATIVA ED ASSOLUTA;VES NORMALE;A
518;La fase luteale dura normalmente:;da 8 a 10 giorni;meno di 8 giorni;da 13 a 15 giorni;più di 15 giorni;"varia a seconda della
lunghezza della fase follicolare";C
519;"ULCERE INTESTINALI A «BOTTONE DI
CAMICIA» SI RILEVANO IN CORSO DI:";FEBBRE TIFOIDE;AMEBIASI;COLERA;COLITE ULCEROSA;"NESSUNA DI
QUESTE";B
520;La deiscenza del follicolo avviene:;"tra il picco estrogenico e quello
di LH";subito dopo il picco dell’LH;è indipendente dai due picchi;"prima del picco degli
estrogeni";"dalle 30 alle 40 ore
dopo il";E
521;"NELL'IPOTIROIDISMO IPOFISARIO E' DI NOTEVOLE IMPORTANZA DIAGNOSTICA IL
REPERTO DI:";CARDIOMEGALIA;MACROGLOSSIA;GOZZO;IPERTRICOSI;"ASSENZA DI TSHEMIA AL
TEST DI";E
522;"Un incremento della concentrazione ematica di alfafetoproteina in gravidanza può essere
suggestiva la presenza di:";diabete;anomalia cromosomica fetale;difetto del tubo neurale;gestosi;nessuna delle precedenti;C
523;"LA SOGLIA RENALE PER IL GLUCOSIO E' DI NORMA PER LA GLICEMIA, UN TASSO
EMATICO DI:";MG 170-180%;MG 140-150%;MG 130-I40%;MG 125-130%;MG 115-125%;A
524;Con il termine fenotipo si intende:;un’alterazione dello sviluppo embrionale;un fenomeno della riproduzione umana;la costituzione genetica di un organismo;"la risultanza dell’interazione tra
la costituzione genetica di un organismo e   l’ambiente in cui questo si sviluppa";un insieme di malattie genetiche;D
525;In una coppia di genitori, il padre è affetto da emofilia. Il rischio di generare figli affetti è:;25%;50%;50% dei figli maschi;100% dei figli maschi;nessuno dei precedenti;E
Item;Domanda;A;B;C;D;E;OK
526;"I VALORI NORMALI DELLA FOSFATASI ACIDA PROSTATICA SIERICA DOSATA CON METODO RADIO/IMMUNOIAGICO SONO COMPRESI TRA:
NELLA LEISHMANIOSI VISCERALE IL QUADRO CLINICO E' CARATTERIZZATO DA:";"0,8-7 NG/ML
IPERGLOBULIA";"4-10 NG/ML
SPLENOMEGALIA";"15-25 NG/ML
LEUCOCITOSI NEUTROFILA";"0,4-4 NG/ML
PIASTRINOSI";"0,5-8 NG/ML
TUTTI QUESTI SINTOMI";"D
B"
527;;;;;;;
528;Una delle seguenti affermazioni sul tetano non è esatta:;è sostenuto da un bacillo, il clostridium tetani;generalmente il bacillo penetra nell’organismo attraverso una soluzione di   continuo della cute;è una malattia tossi-infettiva;il bacillo produce una endotossina che agisce in loco;"la tossina presenta un’azione
elettiva sulle cellule motrici dell’encefalo e";D
529;NEI SOGGETTI AFFETTI DA LEUCEMIA LINFATICA CRONICA SI RILEVA:;AUMENTO ASSAI FREQUENTE DELLE IGE;COSTANTE AUMENTO DI TUTTE LE IMMUNOGLOBULINE SERICHE;PROLIFERAZIONE DELLE CELLULE LINFATICHE BETA;COSTANTE AUMENTO RELATIVO DEI LINFOCITI T;DIMINUZIONE DELLA CUPREMIA;C
530;Una delle seguenti affermazioni sul clostridium tetani non è esatta:;si riproduce in anaerobiosi;"produce spore poco resistenti che vengono agevolmente
distrutte";elabora una tossina potentissima;"è molto diffuso in natura soprattutto nel terreno e
negli escrementi";le spore da sole non producono la malattia;B
531;QUALE DI QUESTE LEUCEMIE PRESENTA UNA SPICCATA TENDENZA ALLA COAGULAZIONE INTRAVASCOLARE DISSEMINATA?;LEUCEMIA PROMIELOCITICA ACUTA;LEUCEMIA MIELOIDE CRONICA LEUCOPENICA;LEUCEMIA MIELOIDE CRONICA EOSINOFILA;LEUCEMIA MIELOIDE CRONICA;LEUCEMIA LINFOIDE CRONICA;A
532;Una importante funzione dei neutrofili nell’infiammazione è:;produzione di enzimi proteolitici;formazione di cellule giganti;rallentamento della corrente ematica;"prevenzione della diffusione dell’infezione mediante
ostruzione dei linfatici";produzione di anticorpi;A
533;Uno dei seguenti tumori è sempre benigno:;adenoma bronchiogeno;timoma;carcinoide;amartoma;adenocarcinoma;D
534;"QUALE DI QUESTI GERMI E' GRAM-
NEGATIVO?";CLODSTRIDIO BOTULINICO;DIPLOCOCCO DI NEISSER;STREPTOCOCCO;STAFILOCOCCO;"MICOBATTERIO
DELLA";B
535;"IN QUALE DI QUESTE ENDOCRINOPATIE SI PUO' RILEVARE UNA SINDROME DA
MALASSORBIMENTO?";DIABETE MELLITO;IPOPARATIROIDISMO;TIREOTOSSICOSI;INSUFFICIENZA SURRENALICA;TUTTE QUESTE ENDOCRINOPATIE ';E
536;Il numero atomico di un elemento è uguale a:;il numero di protoni di un atomo dell’elemento;"la somma del numero di
protoni e di neutroni di un atomo dell’elemento";il numero di neutroni di un atomo dell’elemento;"la somma del numero di elettroni e di neutroni di un
atomo dell’elemento";"il numero intero più vicino alla
massa atomica";A
537;La molarità di una soluzione è:;il numero di grammoatomi di soluto contenuti in un litro di soluzione;il numero di grammomolecole di soluto contenute in un litro di soluzione;il numero di grammoatomi di soluto contenuti in un litro di solvente;"il numero di grammomolecole
di soluto contenute in un litro di solvente";il numero di grammiequivalenti  di soluto contenuti in un litro di soluzione;B
538;L'ANGIOTENSINA II:;INIBISCE LA SINTESI DI NORADRENALINA A LIVELLO DEI GANGLI SIMPATICI;STIMOLA LA PRODUZIONE DI CATECOLAMINE DAL SURRENE;DIMINUISCE LA LIBERAZIONE DI CATECOLAMINE A LIVELLO DELLE TERMINAZIONI SIMPATICHE;ACCENTUA LA RICAPTAZIONE A LIVELLO DELLE TERMINAZIONI SIMPATICHE DELLE CATECOLAMINE;"HA EFFETTO INIBENTE DIRETTO SUI
NEURONI DELL'AREA POSTREMA DEL";B
539;"In quale dei seguenti composti l’azoto ha il
numero di ossidazione massimo?";acido nitrico;ammoniaca;ione ammonio;ossido di azoto;tetrossido di azoto;A
Item;Domanda;A;B;C;D;E;OK
540;"AUTOANTICORPI LIBERI NEL SIERO IN CORSO DI ANEMIE EMOLITICHE AUTOIMMUNI SONO DIMOSTRABILI MEDIANTE:
LA VITA MEDIA DELLE EMAZIE E' NORMALMENTE DI:";"TEST DI COOMBS DIRETTO
120 GIORNI";"TEST DI COOMBS INDIRETTO
60 GIORNI";"TEST DEL ROSSO CONGO
30 GIORNI";"REAZIONE DI FLOCCULAZIONE DI CITOCHOL
15 GIORNI";"TEST AL PREDNISOLONE DI LITTLE E KATZ
7 GIORNI";"B
A"
"541
542";;;;;;;
;"Quale delle seguenti specie è un acido di
Broensted:";metano;ione carbonato acido;ione carbonato;ammoniaca;ione cloruro;B
543;"QUALE DEI SEGUENTI MARKERS
TUMORALI CONVIENE ASSOCIARE ALLA PAP PER LA DIAGNOSI ED IL MONITORAGGIO DEL CANCRO DELLA PROSTATA?";IL CEA;IL GICA;L'APP;IL PSA;L'NSE;D
544;"Quale delle seguenti specie è una base di
Broensted:";ione sodio;metano;ammoniaca;ione idrossonio;acido carbonico;C
545;Un acido debole può essere definito come:;un acido diluito;un acido non dannoso;un acido poco dissociato;un acido poco reattivo;"un acido che non può
formare";C
546;LA TIROIDITE DI HASHIMOTO E':;"UNA TIROIDITE
GRANULOMATOSA";UNA TIROIDITE ACUTA;"UNA TIROIDITE LIGNEA
(STRUMA FERICO)";"UNO STRUMA
LINFOMATOSO";"UNA TIROIDITE
FIBROINVASIVA";D
547;"L'ANEMIA EMOLITICA DA
IPERSENSIBILITA' ALLE FAVE (FAVISMO) E' DOVUTA A CARENZA DI:";"GLUCOSIO-6-FOSFATODEIDROGENASI(G
6PD)";PIRUVATOCHINASI;TRIOSOFOSFATO-ISOMERASI;2-3 DIFOSFO-GLICERATOMUTASI;"GLUCOSIO-6-FOSFATO-
ISOMERASI";A
548;Lo ione carbonato acido si comporta come un acido, quando reagisce:;con lo ione idrossonio per dare acqua e biossido di carbonio;con acqua per dare acido carbonico e ione ossidrile;con lo ione ossidrile per dare acqua e ione carbonato;"con lo ione solfato acido per dare acido carbonico e ione
solfato";"con acido acetico per dare
acqua, biossido di";C
549;IL TEST DI COOMBS INDIRETTO E' POSITIVO IN CASO DI:;ANEMIA SIDEROPENICA;PRESENZA NEL SIERO DI ANTICORPI INCOMPLETI;PRESENZA SULLA SUPERFICIE ERITROCITARIA DI ANTICORPI E/0;IPOTRANSFERRINEMIA ACQUISITA;ANEMIA DA CARENZA PROTEICA;B
550;"Se il pH di una soluzione è minore di 7 la
soluzione può essere definita:";fisiologica;acida;nCeOuMtraPLEMENTO;basica;ossidante;B
551;Una molecola è detta polare se:;è composta da un numero dispari di atomi;è composta da un numero pari di atomi;è formata da ioni;"assume un’orientazione
preferenziale se posta in un campo elettrico";"migra verso il polo negativo di
una cella elettrolitica";D
552;LA MALARIA TERZANA BENIGNA E' PROVOCATA:;SOLO DAL PLASMODIUM VIVAX;SOLO DAL PLASMODIUM OVALE;"SIA DAL PLASMODIUM
VIVAX CHE DAL PLASMODIUM OVALE";SOLO DAL PLASMODIUM MALARIAE;"SOLO DAL
PLASMODIUM FALCIPARUM";C
553;"LA REAZIONE CUTANEA ALLA
TUBERCOLINA E' DI TIPO:";ANAFILATTICO;PSEUDO-ALLERGICO;CITOLITICO CITOTOSSICO;DA COMPLESSI IMMUNI;RITARDATO;E
554;"Quale dei seguenti ossidi, in acqua, dà una
soluzione acida?";ossido di sodio;ossido di carbonio;biossido di carbonio;ossido di calcio;ossido di cesio;C
555;Che cos’è l’energia di attivazione?;differenza fra l’energia dei reagenti e l’energia dei prodotti;differenza fra l’energia dei prodotti e l’energia dei reagenti;"differenza fra l’energia dei reagenti e l’energia del
complesso attivato";"differenza fra l’energia del complesso attivato e
l’energia dei reagenti";"differenza fra l’energia dei
prodotti e l’energia del";D
556;"REAZIONE CITOCHIMICA PAS-POSITIVA SI
RILEVA NELLA LEUCEMIA ACUTA:";MIELOBLASTICA;PROMIELOCITICA;MIELO-MONOCITICA;LINFOBLASTICA;"MONOBLASTICA-
MONOCITICA";D
Item;Domanda;A;B;C;D;E;OK
557;"QUALE DI QUESTI REPERTI NON E' COSTANTE NEL FAVISMO SUBITO DOPO LA CRISI?
Equilibrio chimico si ha quando:";"EMOGLOBINEMIA
tutte le sostanze chimiche hanno cessato di reagire";"IPERBILIRUBINEMIA INDIRETTA
i reagenti si sono completamente trasformati in prodotti";"ANEMIA DI GRADO VARIABILE CON SFEROCITOSI
prodotti e reagenti sono disciolti nello stesso solvente";"DIMINUZIONE DELLE RESISTENZE OSMOTICHE ERITROCITARIE
tutte le concentrazioni si sono uguagliate";"LEUCOCITOSI E TROMBOCITOSI
la velocità della reazione diretta è uguale a quella della";"E
E"
558;;;;;;;
559;"Quale dei seguenti fattori non influenza lo
stato di equilibrio di una reazione chimica:";la costante di equilibrio;la temperatura;la concentrazione dei reagenti;"la concentrazione dei
prodotti";il catalizzatore;E
560;"QUALE DI QUESTI ELEMENTI CITOLOGICI
HA MAGGIORE DIAMETRO (100-150 MICRON)RISPETTO AGLI ALTRI?";PROLINFOCITO;LINFOCITO;MEGACARIOCITO LINFOIDE;PLASMACELLULA;PIASTRINA;C
561;"Quale dei seguenti sali, sciolto in acqua, dà
una soluzione a pH=7?";acetato di sodio;nitrato di ammonio;cloruro di alluminio;cloruro di ammonio;nitrato di potassio;E
562;ASSORBIMENTO ATTIVO MEDIANTE CARRIER E CONSUMO DI ENERGIA AVVIENE NELLA PARETE INTESTINALE PER:;IL FRUTTOSIO;IL GLUCOSIO;GLI AMINOACIDI DICARBOSSILICI;GLI AC. GRASSI;I MONOGLICERIDI;B
563;PRURITO GENERALIZZATO SI RILEVA FREQUENTEMENTE IN TUTTE QUESTE CONDIZIONI AD ESCLUSIONE DI UNA. QUALE?;ANCHILOSTOMIASI;UREMIA CRONICA;IPERTIROIDISMO;OSTRUZIONE DELLE VIE BILIARI;VITILIGINE;E
564;Una soluzione di acetato di potassio ha un pH minore di una soluzione di cianuro di potassio di uguale concentrazione. Questo perché:;l’acido cianidrico è un acido più debole dell’acido acetico;l’acido cianidrico è meno solubile dell’acido acetico;lo ione cianuro è una base più debole dello ione acetato;i cianuri sono meno solubili degli acetati;"lo ione acetato si dissocia
parzialmente per dare ioni idrossonio";A
565;"Quale delle seguenti coppie costituisce una
soluzione tampone:";"carbonato di sodio, carbonato
acido di sodio";nitrato di sodio, acido nitrico;"cloruro di ammonio, acido
cloridrico";"idrossido di sodio, acido
cloridrico";"ammoniaca, idrossido
di sodio";A
566;NELLA SINDROME SURRENOGENITALE CONGENITA SI PUO’ AVERE QUESTA CATENA DI EVENTI, DI CUI UNO E' QUI RIFERITO IN MODO ERRONEO. QUALE?;IPERPIGMENTAZIONE CUTANEA;DA IPERINCREZIONE DI ACTH;DOVUTA A BLOCCO TOTALE DELLA 21-IDROSSILASI;CHE PROVOCA IPERPRODUZIONE DI CORTISOLO;"E IPERPRODUZIONE DI
ANDROGENI E POSSIBILE";D
567;Il sangue è tamponato per la presenza di:;acidi nucleici;emoglobina nella sue forme ridotta e ossidata;ATP e ADP;"anidride carbonica in presenza
dello ione carbonato acido";acido fosforico e ione fosfato;D
568;"IL SEMINOMA E' UNA NEOPLASIA CHE,
NELLA MAGGIOR PARTE DEI CASI:";"E' IL PIU' RARO DEI TUMORI
TESTICOLARI";"E' QUASI SEMPRE
BILATERALE";SVILUPPA RAPIDAMENTE;"PREDILIGE IL TESTICOLO
CRIPTORCHIDE";"DA' METASTASI
MOLTO";D
569;"NELLA PRIMA SETTIMANA LA DIAGNOSI DI FEBBRE TIFOIDE PUO’ ESSERE FACILMENTE
POSTA MEDIANTE:";L'EMOCOLTURA;LA COPROCOLTURA;LA SIERODIAGNOSI DI WIDAL;LA REAZIONE DI PAUL-BUNNEL-DAVIDSON;"LA RICERCA DELLA RISPOSTA
SIEROLOGICA AL";A
570;"Quale dei seguenti composti contiene elettroni
< ?";metano;ammoniaca;metanolo;acetone;etere etilico;D
571;"IL PERIODO DI INCUBAZIONE
DELL'EPATITE DA VIRUS A E' GENERALMENTE DI:";1-2 GIORNI;3-6 GIORNI;7-8 GIORNI;9-10 GIORNI;15-50 GIORNI;E
572;"Gli amminoacidi sono composti aventi gruppi
funzionali:";amminico ed aldeidico;ammonico ed alcolico;ammonico ed alchilico;amminico e carbossilico;ammonico e chetonico;D
Item;Domanda;A;B;C;D;E;OK
573;IL GIP (GASTRIC INHIBITOR POLYPEPTIDE) SVOLGE UNA FUNZIONE DI:;STIMOLAZIONE DELLA MOTILITA' GASTRICA;STIMOLAZIONE DELLA SECREZIONE DIGIUNO-ILEALE;STIMOLAZIONE DELLA SECREZIONE DI PEPSINA INIBITA DALLA IPOGLICEMIA INSULINICA;STIMOLAZIONE DELLA SECREZIONE DI HCL INIBITA DALLA IPOGLICEMIA INSULINICA;INIBIZIONE DELLA SECREZIONE DI INSULINA;B
574;Un atomo di carbonio asimmetrico è:;"un atomo di carbonio sp3 legato a
4 gruppi uguali";"un atomo di carbonio sp2 legato
a 3 gruppi diversi";"un atomo di carbonio sp2 legato
a 3 gruppi uguali";"un atomo di carbonio sp3
legato a 4 gruppi diversi";"un atomo di carbonio
sp legato a 2 gruppi";D
575;"Il saccarosio è un disaccaride che per idrolisi
dà:";2 molecole di glucosio;2 molecole di fruttosio;"1 molecola di glucosio ed una
molecola di galattosio";"1 molecola di glucosio ed
una";"1 molecola di glucosio
ed una";D
576;"IL RITMO CIRCADIANO DEL CORTISOLO PREVEDE VALORI MASSIMI E MINIMI DI
CORTISOLEMIA PER LE ORE:";MX FRA LE 2 E LE 6 MN FRA LE 18 ELE 22;MX FRA LE 6 E LE 10 MN FRA LE 22E LE 24;MX FRA LE 10 E LE 14 MN FRA LE 1E LE 4;MX FRA LE 14 E LE 18 MN FRA LE 4 E LE 8;"MX FRA LE 18 E LE 22 MN
FRA LE 8 E LE 12";B
577;Per idrolisi delle proteine si ottengono:;solo alfa-amminoacidi;amminoacidi e carboidrati;alfa e beta-amminoacidi;solo beta-amminoacidi;"amminoacidi
variamente";A
578;I lipidi trigliceridi sono composti da:;glicerina ed acidi grassi;glicerina ed amminoacidi;glicerina e carboidrati;glicerina ed acidi inorganici;glicerina ed acidi;A
579;Prodotti della glicolisi anaerobica sono:;acido lattico;anidride carbonica ed acqua;acidi grassi ed acqua;glucosio ed acqua;"anidride carbonica ed
acido";A
580;Il prodotto di solubilità è:;il prodotto delle concentrazioni ioniche presenti in una soluzione di un sale   poco solubile;il prodotto delle concentrazioni ioniche presenti in una soluzione satura di un   sale poco solubile;la somma delle cariche degli ioni;il prodotto delle cariche degli ioni;"la concentrazione molare del
sale sciolto";B
581;"Il simbolo + posto davanti al nome composto
indica che esso è:";otticamente inattivo;destrogiro;levogiro;una forma meso;un racemo;B
582;Il trifluoruro di boro è:;un acido protico;un acido di Broensted;una sostanza neutra;una base di Lewis;un acido di Lewis;E
583;"I sali che si ottengono per neutralizzazione di
un acido forte con una base debole danno luogo a soluzioni:";neutre;basiche;alcaline;acide;tampone;D
584;"Una soluzione il cui pH non cambia per
aggiunta di una piccola quantità di acido o base forte è:";una soluzione tampone;un colloide protettore;una soluzione di un acido debole;una soluzione di una base debole;una soluzione ideale;A
585;Nella pila si attua la conversione di:;lavoro in calore;calore in lavoro;"energia chimica in energia
elettrica";"energia elettrica in energia
chimica";"energia chimica in
energia";C
586;"Un alchene con acido cloridrico dà una
reazione:";addizione;sostituzione;combustione;neutralizzazione;eliminazione;A
587;"LA DERMATITE DA CONTATTO E' UNA
REAZIONE IMMUNE DI:";TIPO PSEUDOALLERGICO;I TIPO: REAGINICA;II TIPO: CITOTOSSINA;"III TIPO: DA COMPLESSI
IMMUNI";IV TIPO: CELLULARE;E
588;Il ribosio è:;un aldotetroso;un chetopentoso;un aldoesoso;un aldopentoso;un chetoesoso;D
